dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
chen2023,172,6,saw,9.9840,8.4264,1.5576,8,1
chen2023,172,7,.,4.2248,2.3026,1.9222,8,1
chen2023,172,8,<eos>,3.7230,2.3026,1.4204,8,1
chen2023,173,0,The,1.6527,2.9243,-1.2716,8,1
chen2023,173,1,contractor,11.2078,11.3306,-0.1228,8,1
chen2023,173,2,lent,10.3948,12.0892,-1.6944,8,1
chen2023,173,3,the,0.7183,2.9243,-2.2061,8,1
chen2023,173,4,saw,9.9290,8.4264,1.5026,8,1
chen2023,173,5,the,2.7137,2.9243,-0.2106,8,1
chen2023,173,6,homeowner,10.7989,13.3581,-2.5591,8,1
chen2023,173,7,.,3.4080,2.3026,1.1054,8,1
chen2023,173,8,<eos>,4.1984,2.3026,1.8958,8,1
chen2023,174,0,The,1.6527,2.9243,-1.2716,9,1
chen2023,174,1,contractor,11.2078,11.3306,-0.1228,9,1
chen2023,174,2,lent,10.3948,12.0892,-1.6944,9,1
chen2023,174,3,the,0.7183,2.9243,-2.2061,9,1
chen2023,174,4,saw,9.9299,8.4264,1.5034,9,1
chen2023,174,5,to,1.0292,3.6156,-2.5865,9,1
chen2023,174,6,the,0.4234,2.9243,-2.5009,9,1
chen2023,174,7,homeowner,11.2218,13.3581,-2.1363,9,1
chen2023,174,8,.,2.2500,2.3026,-0.0526,9,1
chen2023,174,9,<eos>,3.8605,2.3026,1.5579,9,1
chen2023,175,0,The,1.6527,2.9243,-1.2716,9,1
chen2023,175,1,contractor,11.2078,11.3306,-0.1228,9,1
chen2023,175,2,lent,10.3948,12.0892,-1.6944,9,1
chen2023,175,3,the,0.7183,2.9243,-2.2061,9,1
chen2023,175,4,homeowner,10.4934,13.3581,-2.8646,9,1
chen2023,175,5,to,3.0149,3.6156,-0.6008,9,1
chen2023,175,6,the,0.7167,2.9243,-2.2076,9,1
chen2023,175,7,saw,10.6512,8.4264,2.2248,9,1
chen2023,175,8,.,2.5126,2.3026,0.2100,9,1
chen2023,175,9,<eos>,3.3886,2.3026,1.0860,9,1
chen2023,176,0,The,1.9115,2.9243,-1.0128,9,1
chen2023,176,1,sailing,14.2983,11.5362,2.7621,9,1
chen2023,176,2,club,4.7956,8.7529,-3.9573,9,1
chen2023,176,3,leased,11.6048,12.3876,-0.7828,9,1
