dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
gibson2013,42,1,nephew,13.2438,11.4931,1.7507,9,0
gibson2013,42,2,mailed,12.4118,12.6649,-0.2532,9,0
gibson2013,42,3,the,1.8982,2.9243,-1.0261,9,0
gibson2013,42,4,aunt,11.4645,11.1414,0.3231,9,0
gibson2013,42,5,to,1.2689,3.6156,-2.3467,9,0
gibson2013,42,6,the,1.6120,2.9243,-1.3124,9,0
gibson2013,42,7,postcard,11.2141,12.8039,-1.5898,9,0
gibson2013,42,8,.,2.3206,2.3026,0.0180,9,0
gibson2013,42,9,<eos>,5.2976,2.3026,2.9950,9,0
gibson2013,43,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,43,1,nephew,13.2438,11.4931,1.7507,9,0
gibson2013,43,2,mailed,12.4118,12.6649,-0.2532,9,0
gibson2013,43,3,the,1.8982,2.9243,-1.0261,9,0
gibson2013,43,4,postcard,10.1937,12.8039,-2.6102,9,0
gibson2013,43,5,to,0.8541,3.6156,-2.7615,9,0
gibson2013,43,6,the,1.7260,2.9243,-1.1984,9,0
gibson2013,43,7,aunt,8.2912,11.1414,-2.8501,9,0
gibson2013,43,8,.,2.3636,2.3026,0.0610,9,0
gibson2013,43,9,<eos>,5.5057,2.3026,3.2031,9,0
gibson2013,44,0,The,3.9742,2.9243,1.0498,8,0
